id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13923118,Downtown NW Apartment *free parking*,52202264,Kalyn,,Northwest District,45.53041,-122.68979,Entire home/apt,156,2,210,12/5/2021,3.17,1,245,26,16-202279-000-00-HO
13953547,★ 1 Block to Hawthorne! Remodeled! Walk Score: 92!,70547018,Melanie,,Sunnyside,45.51252,-122.61695,Entire home/apt,278,2,186,12/5/2021,2.84,1,69,36,17-132145-000-00-HO
13973783,Inspired Hawthorne Craftsman,1339136,Jodi,,Sunnyside,45.51263,-122.61412,Entire home/apt,250,4,20,8/31/2021,0.35,2,239,12,16-165788-000-00-HO
13979171,NE PDX Living,83388023,Geoffrey,,Irvington,45.53641,-122.64007,Entire home/apt,150,2,54,10/23/2020,1.21,2,88,0,City registration pending
13990506,Private Loft Apartment above my Photography Studio,13926479,R.J.,,Montavilla,45.52065,-122.57303,Entire home/apt,83,7,204,11/29/2021,3.11,1,297,13,17-122877-000-00-H0
13990906,Tasty Sellwood Apartment,43289401,Donna & Philip,,Sellwood-Moreland Improvement League,45.46834,-122.64774,Entire home/apt,102,4,206,11/30/2021,3.17,1,149,31,16-217035-000-00-HO
14052385,Adorable 2bd/1.5 ba house near Woodlawn Park,3803604,Ashley,,Woodlawn,45.57244,-122.64932,Entire home/apt,175,4,9,8/6/2019,0.14,1,88,0,City registration pending
14055342,"The Owl's Nest, NE Portland, Concordia",1705386,Kate,,Concordia,45.56735,-122.62651,Entire home/apt,85,2,139,8/15/2021,2.17,1,14,2,City registration pending
14068580,F138,84485898,Morgan,,Pleasant Valley,45.47598,-122.52152,Entire home/apt,273,1,158,10/13/2021,2.41,1,364,18,16-233377-000-00-HO
14072082,Live near Mt. Tabor & many places to eat & drink!,5178627,Jules,,Montavilla,45.51674,-122.57129,Entire home/apt,105,30,84,11/28/2021,1.28,1,45,21,17-137096-000-00-HO
14074987,Comfy private room in SE Portland Reed/Kenilworth,66726091,Aaron,,Creston-Kenilworth,45.49243,-122.62823,Private room,65,2,57,10/13/2019,0.87,2,0,0,City registration pending
14093264,Beautiful Kenton Home away from home,84583945,Sarah & Joslyn,,Kenton,45.58807,-122.70138,Private room,50,60,111,6/6/2020,1.69,1,17,0,16-213189-000-00-HO
14105247,Luxurious hideaway in vibrant Alberta Arts,11559709,Eric,,Vernon,45.56191,-122.65502,Entire home/apt,85,30,165,11/19/2021,2.8,1,283,2,16-195756-000-00-HO
14105781,✦ Luxe-Glam Garden Cottage in  Central PDX ✦,1218855,Suja,,Irvington,45.54327,-122.65505,Entire home/apt,87,1,221,12/13/2021,6,6,56,61,17-144440-000-00-ho
14105943,✧ Chic Suite in Central PDX w/ Comfy King Bed ✧,1218855,Suja,,Irvington,45.54162,-122.65681,Entire home/apt,52,1,511,12/15/2021,7.82,6,52,90,17-144440-000-00-ho
14118181,Private quarters & entrance with a stunning view,6024418,Anna,,University Park,45.58178,-122.74083,Private room,100,2,192,10/17/2021,2.93,1,170,34,City registration pending
14167600,Home in the Heart of Alberta Arts,85544403,Jennifer,,King,45.55934,-122.6584,Entire home/apt,98,2,43,8/8/2021,0.66,1,113,1,City registration pending
